exp_educ,SEX,age79,afqt,numkids84,black,hisp
17,"FEMALE",17,66,0,0,0
16,"FEMALE",16,75,0,0,0
16,"FEMALE",16,70,0,0,0
14,"FEMALE",17,75,0,0,0
16,"FEMALE",17,99,0,0,0
16,"FEMALE",17,62,0,0,0
12,"FEMALE",17,27,0,0,0
17,"FEMALE",16,64,0,0,0
13,"FEMALE",16,35,,0,0
15,"FEMALE",17,42,0,0,0
9,"FEMALE",16,14,2,0,0
12,"FEMALE",17,28,0,0,0
12,"FEMALE",16,27,0,0,0
15,"FEMALE",16,47,0,0,0
16,"FEMALE",16,33,1,0,0
14,"FEMALE",16,48,0,0,0
16,"FEMALE",16,25,1,0,0
14,"FEMALE",17,42,0,0,0
16,"FEMALE",17,6,1,1,0
7,"FEMALE",17,3,1,0,0
12,"FEMALE",17,44,1,1,0
12,"FEMALE",16,63,0,0,0
16,"FEMALE",16,13,0,1,0
17,"FEMALE",16,6,1,1,0
14,"FEMALE",17,75,0,1,0
16,"FEMALE",17,14,0,1,0
12,"FEMALE",16,4,1,1,0
14,"FEMALE",17,30,1,0,0
18,"FEMALE",16,44,0,0,0
17,"FEMALE",16,79,0,0,0
13,"FEMALE",16,53,1,0,0
12,"FEMALE",16,18,0,0,0
16,"FEMALE",16,43,0,0,0
16,"FEMALE",16,25,0,1,0
11,"FEMALE",16,15,2,0,1
16,"FEMALE",16,56,0,0,0
16,"FEMALE",17,91,0,0,0
12,"FEMALE",17,25,1,0,1
12,"FEMALE",17,82,0,0,0
14,"FEMALE",16,49,0,0,1
10,"FEMALE",17,31,0,0,0
12,"FEMALE",17,53,0,0,0
14,"FEMALE",17,84,1,0,0
12,"FEMALE",16,18,1,0,0
12,"FEMALE",16,4,1,0,1
14,"FEMALE",16,54,0,0,0
16,"FEMALE",17,82,0,0,0
17,"FEMALE",16,79,0,0,0
14,"FEMALE",17,12,0,1,0
14,"FEMALE",16,32,0,0,0
14,"FEMALE",16,25,0,0,0
14,"FEMALE",16,65,1,0,0
12,"FEMALE",17,64,1,0,0
12,"FEMALE",17,27,0,0,0
14,"FEMALE",16,56,0,0,0
13,"FEMALE",17,21,1,0,0
10,"FEMALE",17,13,1,0,0
10,"FEMALE",17,22,2,0,0
14,"FEMALE",16,18,1,0,0
16,"FEMALE",17,32,0,0,0
12,"FEMALE",17,69,0,0,0
16,"FEMALE",17,84,0,0,0
16,"FEMALE",17,38,0,0,0
14,"FEMALE",16,38,0,0,0
17,"FEMALE",16,88,0,0,0
12,"FEMALE",17,4,2,0,0
16,"FEMALE",17,68,0,0,0
12,"FEMALE",16,3,0,0,0
6,"FEMALE",16,33,,0,0
14,"FEMALE",17,15,0,0,0
12,"FEMALE",16,18,0,0,0
16,"FEMALE",17,97,0,0,0
18,"FEMALE",17,68,0,0,0
17,"FEMALE",16,80,0,0,0
12,"FEMALE",16,16,0,0,0
14,"FEMALE",17,35,0,0,0
12,"FEMALE",16,24,1,0,0
12,"FEMALE",16,29,0,0,0
16,"FEMALE",17,85,0,0,0
16,"FEMALE",17,31,0,0,0
12,"FEMALE",16,51,0,0,0
12,"FEMALE",16,50,0,0,0
15,"FEMALE",16,43,1,0,0
12,"FEMALE",16,12,1,0,0
16,"FEMALE",17,97,0,0,0
14,"FEMALE",16,73,0,0,0
16,"FEMALE",16,67,0,0,0
16,"FEMALE",17,49,1,0,0
14,"FEMALE",17,7,1,0,0
12,"FEMALE",16,45,0,0,0
12,"FEMALE",16,35,0,0,0
16,"FEMALE",16,72,0,0,0
14,"FEMALE",17,99,0,0,0
16,"FEMALE",17,92,0,0,0
18,"FEMALE",16,87,0,0,0
14,"FEMALE",17,84,3,0,0
12,"FEMALE",16,14,0,0,0
16,"FEMALE",16,36,1,0,0
12,"FEMALE",16,21,0,0,0
16,"FEMALE",16,61,0,0,0
12,"FEMALE",16,21,1,0,0
14,"FEMALE",16,98,,0,0
12,"FEMALE",16,14,0,0,1
14,"FEMALE",17,26,1,0,0
12,"FEMALE",17,14,1,0,0
12,"FEMALE",17,1,0,0,1
12,"FEMALE",16,75,0,0,0
18,"FEMALE",17,81,0,0,0
12,"FEMALE",17,31,0,0,0
16,"FEMALE",16,73,0,0,0
16,"FEMALE",17,67,0,0,0
16,"FEMALE",17,58,0,0,0
18,"FEMALE",16,76,0,0,0
16,"FEMALE",17,66,0,0,0
9,"FEMALE",16,11,1,0,0
13,"FEMALE",17,30,0,0,0
14,"FEMALE",16,15,0,0,0
16,"FEMALE",16,43,0,0,0
12,"FEMALE",16,30,2,0,0
12,"FEMALE",16,11,1,1,0
12,"FEMALE",16,3,1,1,0
15,"FEMALE",16,66,0,0,0
13,"FEMALE",16,47,0,0,0
16,"FEMALE",17,77,1,0,0
16,"FEMALE",17,84,2,0,0
14,"FEMALE",17,73,0,0,0
12,"FEMALE",16,43,0,0,0
12,"FEMALE",17,50,0,0,0
12,"FEMALE",16,40,1,0,0
16,"FEMALE",16,70,0,0,1
11,"FEMALE",17,73,0,0,0
12,"FEMALE",16,38,1,0,0
16,"FEMALE",17,22,0,0,0
16,"FEMALE",17,68,0,0,0
12,"FEMALE",16,51,0,0,0
12,"FEMALE",16,42,0,0,0
13,"FEMALE",17,52,2,0,0
16,"FEMALE",17,40,0,0,1
16,"FEMALE",16,61,0,0,0
16,"FEMALE",16,13,0,0,0
16,"FEMALE",16,39,0,0,0
14,"FEMALE",16,29,0,0,0
12,"FEMALE",17,36,2,0,1
12,"FEMALE",17,39,3,0,0
14,"FEMALE",16,32,2,0,0
12,"FEMALE",16,32,0,0,0
10,"FEMALE",16,15,0,0,0
12,"FEMALE",16,13,2,0,0
13,"FEMALE",16,76,0,0,0
14,"FEMALE",16,22,0,0,0
12,"FEMALE",16,9,0,0,0
12,"FEMALE",16,35,1,0,0
16,"FEMALE",17,85,0,0,0
14,"FEMALE",17,62,1,0,0
16,"FEMALE",17,92,0,0,0
12,"FEMALE",16,16,0,0,0
14,"FEMALE",17,64,0,0,0
14,"FEMALE",16,94,0,0,0
16,"FEMALE",16,79,0,0,0
14,"FEMALE",16,43,0,0,0
12,"FEMALE",16,45,0,0,0
12,"FEMALE",16,29,0,0,0
16,"FEMALE",17,95,0,0,0
16,"FEMALE",16,25,0,0,0
7,"FEMALE",17,2,0,0,0
14,"FEMALE",16,36,,0,0
12,"FEMALE",17,22,0,0,0
12,"FEMALE",17,11,3,0,0
18,"FEMALE",16,76,0,0,0
18,"FEMALE",16,52,0,0,0
12,"FEMALE",17,57,2,0,0
16,"FEMALE",16,21,0,0,0
12,"FEMALE",16,18,0,0,0
9,"FEMALE",16,13,0,0,0
12,"FEMALE",17,13,0,0,0
16,"FEMALE",17,63,1,1,0
12,"FEMALE",17,67,0,0,0
12,"FEMALE",17,25,1,1,0
12,"FEMALE",16,4,0,1,0
12,"FEMALE",17,12,0,0,0
10,"FEMALE",16,32,1,0,0
16,"FEMALE",16,31,0,0,0
12,"FEMALE",16,8,0,0,0
12,"FEMALE",17,24,0,0,0
12,"FEMALE",17,39,1,0,0
16,"FEMALE",16,47,0,0,0
14,"FEMALE",17,45,0,0,0
16,"FEMALE",17,55,0,0,0
14,"FEMALE",16,54,0,0,0
12,"FEMALE",16,58,0,0,0
12,"FEMALE",16,6,0,0,0
12,"FEMALE",17,25,1,0,0
9,"FEMALE",17,7,2,0,0
,"FEMALE",17,5,0,0,0
10,"FEMALE",16,11,0,0,0
16,"FEMALE",16,13,0,1,0
15,"FEMALE",17,53,0,0,0
17,"FEMALE",17,11,0,1,0
12,"FEMALE",16,28,0,0,0
16,"FEMALE",16,69,0,0,0
