afqt,income,educ,age,black,hisp,coll,grad,hs,max_coll,mom_hs,mom_coll,dad_hs,dad_coll,ageyears
90,265933,20,"46",0,0,1,1,1,0,1,0,1,0,46
89,112000,16,"43",0,0,1,0,1,1,1,0,1,0,43
54,51000,12,"44",0,0,0,0,1,0,1,0,1,1,44
89,110000,17,"47",0,0,1,0,1,1,1,1,1,1,47
92,75000,18,"44",0,0,1,1,1,0,1,1,1,0,44
68,84000,16,"42",0,0,1,0,1,1,1,0,1,1,42
69,55000,14,"40",0,0,0,0,1,0,1,0,0,0,40
74,28000,12,"43",0,0,0,0,1,0,0,0,0,0,43
74,7000,16,"42",1,0,1,0,1,1,1,1,1,0,42
53,28000,16,"40",1,0,1,0,1,1,1,1,1,0,40
8,8000,12,"46",1,0,0,0,1,0,0,0,0,0,46
5,3000,12,"42",1,0,0,0,1,0,0,0,0,0,42
25,68000,12,"44",0,0,0,0,1,0,1,0,1,0,44
73,47300,18,"41",0,0,1,1,1,0,1,0,1,0,41
84,36000,12,"44",0,0,0,0,1,0,0,0,1,0,44
72,49000,12,"42",0,0,0,0,1,0,1,0,0,0,42
25,50000,12,"47",0,0,0,0,1,0,0,0,1,0,47
12,4700,9,"44",0,0,0,0,0,0,1,0,1,0,44
31,58000,14,"42",0,0,0,0,1,0,0,0,0,0,42
27,28764,12,"44",0,0,0,0,1,0,0,0,0,0,44
34,43000,12,"43",0,0,0,0,1,0,0,0,0,0,43
16,33000,12,"43",0,0,0,0,1,0,1,0,0,0,43
27,36000,12,"42",0,0,0,0,0,0,1,0,0,0,42
9,50000,12,"46",0,0,0,0,1,0,0,0,0,0,46
48,48000,11,"45",0,0,0,0,0,0,0,0,1,0,45
96,73000,19,"41",0,0,1,0,1,1,1,1,1,1,41
11,33000,12,"39",0,0,0,0,1,0,0,0,1,0,39
66,265933,13,"45",0,0,0,0,1,0,1,0,1,0,45
58,115000,15,"44",0,0,1,0,1,1,1,0,1,0,44
19,21000,12,"44",0,0,0,0,1,0,0,0,0,0,44
18,19000,12,"41",0,0,0,0,1,0,1,0,0,0,41
80,106000,17,"46",0,0,1,1,1,0,0,0,1,1,46
66,48000,12,"41",0,0,0,0,1,0,1,0,1,0,41
20,58000,12,"42",0,0,0,0,1,0,1,0,1,0,42
22,55000,16,"41",0,0,0,0,1,0,1,0,1,0,41
25,70000,12,"45",1,0,0,0,1,0,0,0,0,0,45
39,62000,12,"44",0,1,0,0,1,0,0,0,1,0,44
33,2800,12,"42",0,1,0,0,1,0,0,0,1,0,42
44,12000,12,"44",0,0,0,0,1,0,1,0,1,0,44
54,60000,12,"45",0,0,0,0,1,0,1,0,1,0,45
48,34000,14,"44",0,0,0,0,1,0,0,0,1,0,44
97,94300,17,"42",0,0,1,0,1,1,1,0,1,0,42
75,85000,16,"42",0,0,1,0,1,1,1,0,1,0,42
22,58500,12,"46",0,1,0,0,1,0,0,0,0,0,46
64,37000,12,"41",0,0,0,0,1,0,1,0,0,0,41
75,48000,16,"46",0,0,0,0,1,0,1,0,1,1,46
91,58000,16,"44",0,0,1,0,1,1,0,0,1,0,44
29,56000,12,"40",0,0,0,0,1,0,1,0,1,0,40
32,52000,14,"44",0,0,0,0,1,0,0,0,0,0,44
22,30000,12,"43",0,0,0,0,1,0,0,0,0,0,43
13,52000,12,"42",0,0,0,0,1,0,1,0,1,0,42
71,70000,16,"42",0,0,1,0,1,1,1,0,1,0,42
92,33000,20,"45",0,0,1,1,1,0,1,0,1,0,45
70,22000,12,"45",0,0,0,0,1,0,1,1,1,1,45
66,66000,16,"40",0,0,1,0,1,1,1,0,1,0,40
29,80000,13,"47",0,0,0,0,1,0,1,0,1,0,47
27,30000,14,"43",0,0,0,0,1,0,1,0,1,1,43
89,70000,17,"46",0,0,1,0,1,1,1,1,1,1,46
89,265933,20,"45",0,0,1,1,1,0,1,0,1,1,45
6,6000,13,"40",1,0,0,0,1,0,1,0,1,0,40
31,61000,16,"45",1,0,0,0,1,0,0,0,0,0,45
84,68000,13,"43",0,0,0,0,1,0,1,0,0,0,43
61,38000,12,"44",0,0,0,0,1,0,1,0,1,0,44
27,47000,12,"43",0,0,0,0,1,0,1,0,1,0,43
68,35000,12,"43",0,0,0,0,1,0,0,0,1,0,43
35,47000,12,"45",0,0,0,0,1,0,1,0,1,1,45
64,34000,12,"45",0,0,0,0,1,0,1,0,1,1,45
90,35400,19,"44",0,0,0,0,1,0,1,0,1,1,44
7,30000,12,"41",0,0,0,0,1,0,0,0,1,0,41
56,36000,10,"39",0,0,0,0,0,0,1,0,1,0,39
80,135000,16,"43",0,0,1,0,1,1,1,1,1,1,43
90,83000,18,"41",0,0,1,1,1,0,1,1,1,1,41
80,75000,16,"44",0,0,1,0,1,1,1,1,1,1,44
56,42000,16,"42",0,0,1,0,1,1,1,1,1,1,42
85,46000,16,"42",0,0,1,0,1,1,1,1,1,1,42
29,50000,12,"46",0,0,0,0,1,0,1,0,1,0,46
90,265933,19,"45",0,0,1,1,1,0,1,0,1,0,45
53,36000,12,"43",0,0,0,0,1,0,1,0,1,0,43
86,35000,15,"47",0,0,0,0,1,0,0,0,0,0,47
73,61000,17,"42",0,0,1,0,1,1,1,0,1,1,42
95,7700,19,"44",0,0,1,0,1,1,1,0,1,0,44
73,38000,16,"43",0,0,0,0,1,0,1,0,1,0,43
86,100000,20,"41",0,0,1,1,1,0,1,0,0,0,41
29,30000,12,"45",0,0,0,0,1,0,0,0,1,0,45
42,27000,12,"45",0,0,0,0,1,0,1,0,1,0,45
87,110000,16,"41",0,0,1,0,1,1,1,0,1,0,41
7,77000,14,"40",0,0,0,0,1,0,1,0,1,0,40
54,93000,12,"44",0,0,0,0,1,0,0,0,0,0,44
76,110000,16,"43",0,0,1,0,1,1,1,0,1,0,43
87,95000,16,"47",0,0,1,0,1,1,1,0,1,0,47
56,40000,12,"40",0,0,0,0,1,0,1,0,1,0,40
73,73000,14,"42",0,0,0,0,1,0,1,0,1,0,42
23,38000,12,"41",0,0,0,0,1,0,1,0,1,0,41
53,60000,13,"45",0,0,0,0,1,0,1,0,1,0,45
99,52000,18,"44",0,0,1,1,1,0,1,0,1,0,44
52,45000,16,"46",0,0,1,0,1,1,1,0,1,0,46
39,63000,12,"41",0,0,0,0,1,0,1,0,1,0,41
54,37960,12,"46",0,0,0,0,1,0,1,0,1,0,46
38,23000,13,"41",0,0,0,0,1,0,1,0,1,0,41
95,90000,14,"44",0,0,0,0,1,0,1,0,1,1,44
87,265933,15,"43",0,0,1,0,1,1,1,0,1,1,43
84,110000,16,"42",0,0,1,0,1,1,1,0,1,1,42
43,70000,12,"44",0,0,0,0,1,0,0,0,0,0,44
55,265933,12,"44",0,0,0,0,1,0,1,0,1,0,44
61,35000,12,"42",0,0,0,0,1,0,1,0,1,0,42
76,60000,12,"40",0,0,0,0,1,0,0,0,1,0,40
43,52000,12,"46",0,0,0,0,1,0,0,0,0,0,46
59,85000,14,"45",0,0,0,0,1,0,1,0,1,0,45
66,46000,12,"44",0,0,0,0,1,0,1,0,1,1,44
28,35000,12,"44",0,0,0,0,1,0,1,0,1,0,44
58,46000,12,"40",0,0,0,0,1,0,1,0,1,0,40
64,24000,14,"43",1,0,0,0,1,0,1,1,1,0,43
61,95000,12,"46",0,0,0,0,1,0,1,0,0,0,46
27,40000,12,"41",0,0,0,0,1,0,1,0,1,0,41
82,85,14,"40",0,0,0,0,1,0,0,0,0,0,40
94,40000,18,"44",0,0,1,1,1,0,1,0,1,1,44
93,75000,16,"46",0,0,1,0,1,1,1,1,1,1,46
32,18000,12,"42",0,0,0,0,1,0,1,0,1,0,42
4,10000,12,"40",0,0,0,0,1,0,1,0,1,1,40
4,25000,12,"40",0,0,0,0,1,0,1,0,0,0,40
65,43000,12,"45",0,0,0,0,1,0,0,0,1,0,45
55,58000,19,"41",0,0,1,1,1,0,1,1,1,0,41
92,62000,18,"43",0,0,1,0,1,1,0,0,1,0,43
87,265933,18,"42",0,0,1,0,1,1,1,0,1,0,42
59,138000,16,"41",0,0,1,0,1,1,1,0,1,0,41
82,30000,16,"44",0,0,1,0,1,1,1,0,1,1,44
27,45000,13,"40",1,0,0,0,1,0,1,0,0,0,40
16,47000,12,"47",1,0,0,0,1,0,0,0,0,0,47
40,5000,12,"45",0,0,0,0,1,0,0,0,1,0,45
80,60000,12,"45",0,0,0,0,1,0,1,0,1,0,45
69,96000,12,"45",0,0,0,0,1,0,1,0,1,0,45
74,21000,12,"46",0,0,0,0,1,0,1,0,1,0,46
1,26000,9,"46",1,0,0,0,0,0,0,0,0,0,46
29,55000,18,"44",1,0,1,1,1,0,1,1,1,1,44
71,29000,14,"42",0,0,0,0,1,0,1,1,1,1,42
54,35349,12,"43",0,0,0,0,1,0,0,0,1,0,43
4,23000,9,"42",0,0,0,0,0,0,0,0,0,0,42
48,29000,10,"46",0,0,0,0,0,0,0,0,0,0,46
13,35000,12,"47",0,0,0,0,0,0,1,0,0,0,47
95,50000,14,"47",0,0,0,0,1,0,1,1,1,1,47
53,76000,12,"47",0,0,0,0,1,0,1,0,1,1,47
99,60000,16,"47",0,1,1,0,1,1,1,0,1,1,47
53,32000,13,"42",0,1,0,0,1,0,1,1,1,1,42
61,52000,11,"41",0,0,0,0,1,0,1,0,1,0,41
66,95000,16,"47",0,0,1,0,1,1,1,0,1,0,47
89,265933,16,"46",0,1,1,0,1,1,1,1,1,1,46
80,265933,16,"44",0,0,1,0,1,1,1,1,1,1,44
78,92000,16,"42",0,0,1,0,1,1,1,1,1,1,42
7,12000,10,"41",1,0,0,0,0,0,1,0,0,0,41
53,10000,12,"47",1,0,0,0,1,0,1,0,1,0,47
24,51500,12,"42",0,0,0,0,1,0,1,0,1,0,42
92,120000,16,"45",0,0,1,0,1,1,1,0,0,0,45
42,67000,16,"39",0,0,1,0,1,1,1,0,1,1,39
17,265933,13,"45",0,0,0,0,1,0,1,0,0,0,45
58,11000,16,"42",0,0,1,0,1,1,1,1,1,1,42
74,50000,15,"42",0,0,0,0,1,0,1,0,1,0,42
20,30000,12,"45",1,0,0,0,1,0,0,0,1,0,45
14,26800,12,"39",1,0,0,0,1,0,0,0,0,0,39
24,59000,12,"46",1,0,0,0,1,0,1,0,1,0,46
59,265933,16,"40",0,0,1,0,1,1,0,0,1,0,40
52,50000,14,"42",0,0,0,0,1,0,0,0,0,0,42
22,47060,15,"43",1,0,0,0,1,0,0,0,0,0,43
2,30000,9,"43",0,0,0,0,0,0,0,0,0,0,43
3,30000,8,"41",0,0,0,0,0,0,0,0,1,0,41
4,12000,9,"41",1,0,0,0,0,0,0,0,1,0,41
9,16000,12,"42",1,0,0,0,1,0,0,0,0,0,42
7,55000,13,"39",1,0,0,0,1,0,0,0,0,0,39
5,38000,12,"40",1,0,0,0,1,0,0,0,0,0,40
41,58400,12,"42",0,0,0,0,1,0,0,0,0,0,42
10,28000,12,"42",0,0,0,0,1,0,1,0,1,0,42
29,20000,12,"45",0,0,0,0,1,0,1,0,1,1,45
46,20000,12,"41",0,0,0,0,1,0,0,0,0,0,41
65,21600,12,"46",0,0,0,0,1,0,0,0,0,0,46
16,45000,13,"41",0,0,0,0,1,0,1,0,1,0,41
23,20000,12,"40",0,0,0,0,1,0,1,0,1,0,40
11,35000,9,"45",0,0,0,0,0,0,1,0,1,0,45
99,83000,16,"44",0,0,1,0,1,1,1,0,1,0,44
30,32000,12,"45",0,0,0,0,1,0,1,0,0,0,45
66,22000,13,"42",0,0,0,0,1,0,1,0,0,0,42
21,40000,12,"44",0,0,0,0,1,0,1,0,1,0,44
34,135000,12,"44",0,0,0,0,0,0,1,0,1,0,44
11,38000,14,"42",1,0,0,0,1,0,1,0,1,0,42
11,26000,14,"46",1,0,0,0,1,0,0,0,0,0,46
9,2200,13,"41",1,0,0,0,1,0,1,0,0,0,41
42,40000,15,"41",1,0,0,0,1,0,1,0,1,0,41
12,30000,12,"39",0,0,0,0,0,0,0,0,0,0,39
64,20000,18,"41",0,0,1,1,1,0,1,0,0,0,41
30,15000,12,"46",0,0,0,0,1,0,0,0,0,0,46
51,100000,16,"48",0,0,1,0,1,1,0,0,0,0,48
49,265933,15,"40",0,0,0,0,1,0,1,0,1,1,40
27,17000,9,"42",0,0,0,0,0,0,0,0,0,0,42
17,35000,8,"47",0,0,0,0,0,0,0,0,0,0,47
5,47000,12,"42",0,0,0,0,1,0,0,0,0,0,42
99,72000,13,"47",0,0,0,0,1,0,0,0,0,0,47
42,40000,13,"44",0,0,0,0,1,0,0,0,1,0,44
80,130000,16,"45",0,0,1,0,1,1,1,0,0,0,45
6,30000,9,"42",0,0,0,0,0,0,0,0,0,0,42
9,10000,10,"39",0,0,0,0,0,0,0,0,0,0,39
56,58000,13,"44",0,0,0,0,1,0,1,0,0,0,44
54,55000,12,"46",0,0,0,0,1,0,0,0,1,0,46
31,32000,12,"40",0,0,0,0,1,0,0,0,1,0,40
43,52000,12,"41",0,0,0,0,1,0,1,0,1,0,41
5,32500,12,"47",0,0,0,0,1,0,1,0,1,0,47
65,110000,16,"45",0,0,1,0,1,1,1,0,1,0,45
88,14000,16,"44",0,0,0,0,1,0,1,0,1,1,44
99,38000,16,"43",0,0,1,0,1,1,1,0,1,1,43
54,85000,12,"43",0,0,0,0,1,0,0,0,0,0,43
25,36000,15,"41",1,0,0,0,1,0,1,0,0,0,41
3,60000,12,"41",1,0,0,0,0,0,1,0,0,0,41
14,25000,12,"41",1,0,0,0,1,0,1,0,0,0,41
22,47000,12,"43",1,0,0,0,1,0,1,0,1,0,43
25,50000,12,"40",1,0,0,0,1,0,1,0,1,0,40
73,45000,15,"46",0,0,0,0,1,0,1,0,1,1,46
42,42500,12,"47",0,0,0,0,1,0,0,0,0,0,47
53,72000,14,"41",0,0,0,0,1,0,1,0,1,1,41
5,2000,11,"46",0,1,0,0,0,0,0,0,0,0,46
16,21000,12,"40",0,0,0,0,1,0,0,0,1,0,40
37,39000,12,"39",0,1,0,0,1,0,0,0,1,0,39
45,2000,12,"42",0,0,0,0,0,0,1,0,1,0,42
68,40000,12,"41",0,0,0,0,1,0,1,0,1,0,41
18,35000,16,"44",1,0,1,0,1,1,0,0,1,0,44
32,45000,17,"41",1,0,1,0,1,1,0,0,1,0,41
41,38480,12,"47",0,0,0,0,1,0,1,0,0,0,47
19,58000,8,"47",0,0,0,0,0,0,0,0,0,0,47
31,68000,13,"41",0,0,0,0,1,0,0,0,0,0,41
61,55000,16,"46",0,0,1,0,1,1,1,0,1,0,46
93,80000,18,"43",0,0,1,0,1,1,1,0,1,1,43
4,21000,14,"45",1,0,0,0,1,0,0,0,0,0,45
61,70000,16,"47",1,0,1,0,1,1,1,0,0,0,47
35,40000,12,"45",1,0,0,0,1,0,1,0,0,0,45
78,31500,14,"47",0,0,0,0,1,0,1,0,0,0,47
94,60000,17,"41",0,0,1,0,1,1,1,1,1,1,41
84,61000,20,"40",0,0,1,1,1,0,1,1,1,1,40
94,265933,18,"47",0,0,1,1,1,0,1,0,0,0,47
80,42000,15,"46",0,0,0,0,1,0,1,1,1,0,46
81,38000,12,"45",0,0,0,0,1,0,1,0,1,1,45
85,23000,17,"46",0,0,1,0,1,1,1,0,1,0,46
42,90000,12,"42",0,0,0,0,1,0,1,0,0,0,42
18,41000,12,"43",1,0,0,0,1,0,1,0,0,0,43
3,25000,12,"46",1,0,0,0,1,0,0,0,0,0,46
13,27500,12,"45",1,0,0,0,1,0,0,0,0,0,45
13,13000,12,"45",0,0,0,0,1,0,1,0,1,0,45
44,142000,11,"44",0,0,0,0,0,0,1,0,1,0,44
58,50000,12,"45",0,0,0,0,1,0,1,0,1,0,45
75,29000,14,"43",0,0,0,0,1,0,1,0,1,0,43
65,22876,12,"41",0,0,0,0,1,0,1,0,1,0,41
21,10000,12,"42",0,0,0,0,1,0,1,0,1,0,42
